<<<<<<< Updated upstream
neighborhood,cd,borough,total_poi,unique_poi,category_diversity,food,retail,other,ratio_restaurant,ratio_retail,food_to_retail_ratio,category_entropy
BK01 Williamsburg-Greenpoint (CD 1 Equivalent),BK01,BROOKLYN,1194,1145,1,1194,0,0,1.0,0.0,0.0,-0.0
BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),BK02,BROOKLYN,766,714,1,766,0,0,1.0,0.0,0.0,-0.0
BK03 Bedford-Stuyvesant (CD 3 Approximation),BK03,BROOKLYN,444,427,1,444,0,0,1.0,0.0,0.0,-0.0
BK04 Bushwick (CD 4 Equivalent),BK04,BROOKLYN,418,412,2,417,1,0,0.9976076555023924,0.0023923444976076554,417.0,0.016828431352267744
BK05 East New York-Cypress Hills (CD 5 Approximation),BK05,BROOKLYN,261,241,1,261,0,0,1.0,0.0,0.0,-0.0
BK06 Park Slope-Carroll Gardens (CD 6 Approximation),BK06,BROOKLYN,691,671,2,690,1,0,0.9985528219971056,0.001447178002894356,690.0,0.010907982468103377
BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),BK07,BROOKLYN,578,560,1,578,0,0,1.0,0.0,0.0,-0.0
BK08 Crown Heights (North) (CD 8 Approximation),BK08,BROOKLYN,347,339,1,347,0,0,1.0,0.0,0.0,-0.0
BK09 Crown Heights (South) (CD 9 Approximation),BK09,BROOKLYN,221,212,1,221,0,0,1.0,0.0,0.0,-0.0
BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),BK10,BROOKLYN,461,442,1,461,0,0,1.0,0.0,0.0,-0.0
BK11 Bensonhurst-Bath Beach (CD 11 Approximation),BK11,BROOKLYN,452,433,1,452,0,0,1.0,0.0,0.0,-0.0
BK12 Borough Park-Kensington (CD 12 Approximation),BK12,BROOKLYN,299,292,2,298,1,0,0.9966555183946488,0.0033444816053511705,298.0,0.02240391125486527
BK13 Coney Island-Brighton Beach (CD 13 Approximation),BK13,BROOKLYN,207,195,1,207,0,0,1.0,0.0,0.0,-0.0
BK14 Flatbush-Midwood (CD 14 Approximation),BK14,BROOKLYN,344,327,1,344,0,0,1.0,0.0,0.0,-0.0
BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),BK15,BROOKLYN,374,360,1,374,0,0,1.0,0.0,0.0,-0.0
BK16 Ocean Hill-Brownsville (CD 16 Approximation),BK16,BROOKLYN,117,113,1,117,0,0,1.0,0.0,0.0,-0.0
BK17 East Flatbush (CD 17 Approximation),BK17,BROOKLYN,288,267,1,288,0,0,1.0,0.0,0.0,-0.0
BK18 Canarsie-Flatlands (CD 18 Approximation),BK18,BROOKLYN,293,268,1,293,0,0,1.0,0.0,0.0,-0.0
BK55 Prospect Park (JIA 55 Approximation),BK55,BROOKLYN,9,9,1,9,0,0,1.0,0.0,0.0,-0.0
BK56 Jamaica Bay (West) (JIA 56 Approximation),BK56,BROOKLYN,2,2,1,2,0,0,1.0,0.0,0.0,-0.0
BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),BX01,BRONX,235,216,2,234,1,0,0.9957446808510638,0.00425531914893617,234.0,0.027478531192234992
BX02 Longwood-Hunts Point (CD 2 Approximation),BX02,BRONX,119,114,1,119,0,0,1.0,0.0,0.0,-0.0
BX03 Morrisania-Crotona Park East (CD 3 Approximation),BX03,BRONX,83,77,1,83,0,0,1.0,0.0,0.0,-0.0
BX04 Highbridge-Concourse (CD 4 Approximation),BX04,BRONX,274,256,1,274,0,0,1.0,0.0,0.0,-0.0
BX05 Morris Heights-Mount Hope (CD 5 Approximation),BX05,BRONX,200,187,1,200,0,0,1.0,0.0,0.0,-0.0
BX06 Tremont-Belmont-West Farms (CD 6 Approximation),BX06,BRONX,227,219,1,227,0,0,1.0,0.0,0.0,-0.0
BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),BX07,BRONX,208,193,1,208,0,0,1.0,0.0,0.0,-0.0
BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),BX08,BRONX,185,184,1,185,0,0,1.0,0.0,0.0,-0.0
BX09 Soundview-Parkchester (CD 9 Approximation),BX09,BRONX,245,228,1,245,0,0,1.0,0.0,0.0,-0.0
BX10 Co-op City-Throgs Neck (CD 10 Approximation),BX10,BRONX,291,271,1,291,0,0,1.0,0.0,0.0,-0.0
BX11 Pelham Parkway-Morris Park (CD 11 Approximation),BX11,BRONX,218,200,1,218,0,0,1.0,0.0,0.0,-0.0
BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),BX12,BRONX,231,201,1,231,0,0,1.0,0.0,0.0,-0.0
BX26 Van Cortlandt Park (JIA 26 Equivalent),BX26,BRONX,9,9,1,9,0,0,1.0,0.0,0.0,-0.0
BX27 Bronx Park (JIA 27 Approximation),BX27,BRONX,14,14,1,14,0,0,1.0,0.0,0.0,-0.0
BX28 Pelham Bay Park (JIA 28 Approximation),BX28,BRONX,5,5,1,5,0,0,1.0,0.0,0.0,-0.0
MN01 Financial District-Tribeca (CD 1 Equivalent),MN01,MANHATTAN,1164,1038,2,886,278,0,0.761168384879725,0.23883161512027493,3.1870503597122304,0.5497294084957656
MN02 Greenwich Village-SoHo (CD 2 Equivalent),MN02,MANHATTAN,1863,1745,2,1519,344,0,0.8153515834675255,0.1846484165324745,4.415697674418604,0.47836938961424125
MN03 Lower East Side-Chinatown (CD 3 Equivalent),MN03,MANHATTAN,1919,1851,2,1515,404,0,0.7894736842105263,0.21052631578947367,3.75,0.5146531654289292
MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),MN04,MANHATTAN,1612,1515,2,1260,352,0,0.7816377171215881,0.21836228287841192,3.5795454545454546,0.5248273289338874
MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),MN05,MANHATTAN,3604,3120,2,2640,964,0,0.732519422863485,0.26748057713651496,2.7385892116182573,0.5807368313211472
MN06 East Midtown-Murray Hill (CD 6 Approximation),MN06,MANHATTAN,1514,1378,2,1114,400,0,0.7357992073976222,0.26420079260237783,2.785,0.5774051134782618
MN07 Upper West Side (CD 7 Approximation),MN07,MANHATTAN,1010,934,2,691,319,0,0.6841584158415842,0.31584158415841584,2.166144200626959,0.6236951345760722
MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),MN08,MANHATTAN,1259,1166,2,881,378,0,0.6997617156473391,0.30023828435266087,2.3306878306878307,0.6110660647083835
MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),MN09,MANHATTAN,443,428,2,291,152,0,0.6568848758465011,0.3431151241534989,1.9144736842105263,0.6430801314096088
MN10 Harlem (CD 10 Equivalent),MN10,MANHATTAN,409,389,2,195,214,0,0.4767726161369193,0.5232273838630807,0.9112149532710281,0.6920677694056212
MN11 East Harlem (CD 11 Equivalent),MN11,MANHATTAN,590,562,2,332,258,0,0.5627118644067797,0.43728813559322033,1.2868217054263567,0.6852608714928982
MN12 Washington Heights-Inwood (CD 12 Equivalent),MN12,MANHATTAN,819,778,2,489,330,0,0.5970695970695971,0.40293040293040294,1.481818181818182,0.674181967460901
MN64 Central Park (JIA 64 Equivalent),MN64,MANHATTAN,9,9,1,9,0,0,1.0,0.0,0.0,-0.0
QN01 Astoria-Queensbridge (CD 1 Equivalent),QN01,QUEENS,873,822,1,873,0,0,1.0,0.0,0.0,-0.0
QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),QN02,QUEENS,635,608,1,635,0,0,1.0,0.0,0.0,-0.0
QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),QN03,QUEENS,487,459,1,487,0,0,1.0,0.0,0.0,-0.0
QN04 Elmhurst-Corona (CD 4 Approximation),QN04,QUEENS,495,468,1,495,0,0,1.0,0.0,0.0,-0.0
QN05 Ridgewood-Maspeth-Middle Village (CD 5 Approximation),QN05,QUEENS,483,467,1,483,0,0,1.0,0.0,0.0,-0.0
QN06 Forest Hills-Rego Park (CD 6 Approximation),QN06,QUEENS,308,296,1,308,0,0,1.0,0.0,0.0,-0.0
QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),QN07,QUEENS,1081,1029,1,1081,0,0,1.0,0.0,0.0,-0.0
QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),QN08,QUEENS,249,236,1,249,0,0,1.0,0.0,0.0,-0.0
QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),QN09,QUEENS,298,284,1,298,0,0,1.0,0.0,0.0,-0.0
QN10 South Ozone Park-Howard Beach (CD 10 Approximation),QN10,QUEENS,300,283,1,300,0,0,1.0,0.0,0.0,-0.0
QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation),QN11,QUEENS,355,342,1,355,0,0,1.0,0.0,0.0,-0.0
QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),QN12,QUEENS,485,428,1,485,0,0,1.0,0.0,0.0,-0.0
QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),QN13,QUEENS,288,260,1,288,0,0,1.0,0.0,0.0,-0.0
QN14 The Rockaways (CD 14 Approximation),QN14,QUEENS,152,143,1,152,0,0,1.0,0.0,0.0,-0.0
QN80 LaGuardia Airport (JIA 80 Approximation),QN80,QUEENS,5,5,1,5,0,0,1.0,0.0,0.0,-0.0
QN81 Flushing Meadows-Corona Park (JIA 81 Approximation),QN81,QUEENS,12,12,1,12,0,0,1.0,0.0,0.0,-0.0
QN82 Forest Park (JIA 82 Approximation),QN82,QUEENS,2,2,1,2,0,0,1.0,0.0,0.0,-0.0
QN83 JFK International Airport (JIA 83 Approximation),QN83,QUEENS,48,48,1,48,0,0,1.0,0.0,0.0,-0.0
SI01 North Shore (CD 1 Equivalent),SI01,STATEN ISLAND,426,404,1,426,0,0,1.0,0.0,0.0,-0.0
SI02 Mid-Island (CD 2 Approximation),SI02,STATEN ISLAND,352,318,1,352,0,0,1.0,0.0,0.0,-0.0
SI03 South Shore (CD 3 Approximation),SI03,STATEN ISLAND,294,267,2,290,4,0,0.9863945578231292,0.013605442176870748,72.5,0.07197893363517727
=======
neighborhood,cd,borough,total_poi,unique_poi,category_diversity,num_retail,food,other,retail,ratio_retail,ratio_food,category_entropy
BK01 Williamsburg-Greenpoint (CD 1 Equivalent),BK01,BROOKLYN,1194,1145,2,,299,895,0,,0.25041876046901174,0.5627947325624211
BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),BK02,BROOKLYN,766,714,2,,203,563,0,,0.2650130548302872,0.5782353755002146
